KIC	consensus	evol-1	evol-2	evol-3	evol-4	spectroscopic
1026309	RGB	RGB	RC	U	RGB	notDone
1027110	RGB	RGB	RGB	U	RGB	UpperRGB
1027337	RGB	RGB	RC	RGB	RGB	RGB(S)
1160789	RC	RC	RC	RC	RC	RC(S)
1160986	U	RGB	RGB	U	U	UpperRGB
1161447	RC	RC	RC	RC	RC	RC(S)
1161618	RC	RC	RC	RC	RC	RC(S)
1162220	RGB	RGB	RGB	RGB	RGB	UpperRGB
1162746	RC	RC	RC	RC	RC	RC(S)
1163114	RGB	RGB	RGB	RGB	RGB	UpperRGB
1163359	RGB	RGB	RGB	RGB	RGB	UpperRGB
1163621	RC/2CL	RC	RC	2CL	RC	RC(S)
1294122	RGB	RGB	RC	RGB	RGB	RGB(S)
1294385	RGB	RGB	RC	RGB	RGB	RGB(S)
1296068	RGB	RGB	RGB	RGB	RGB	RGB(S)
1296507	RGB	RGB	RC	RGB	RGB	RGB(S)
1429505	RGB	RGB	RGB	RGB	RGB	RGB(S)
1431059	RGB	RGB	RGB	RGB	RGB	RGB(S)
1431599	RGB	RGB	RGB	RGB	RGB	UpperRGB
1432587	RGB	RGB	RGB	RGB	RGB	UpperRGB
1433593	RGB	U	RC	RGB	RGB	RGB(S)
1433730	RGB	RGB	RGB	RGB	U	RC(S)
1433803	RGB	RGB	RGB	RGB	RGB	RGB(S)
1435573	RC	RC	RC	RC	RC	RC(S)
1569842	RGB	RGB	RGB	RGB	RGB	RGB(S)
1571780	RC/2CL	RC	RC	RC	2CL	RC(S)
1572175	RGB	RGB	RGB	RGB	RGB	RGB(S)
1572780	RGB/AGB	U	RGB	AGB	RGB	RC(S)
1575886	2CL	RC	RC	RGB	2CL	RC(S)
1576043	RGB/AGB	RGB	RGB	AGB	RGB	UpperRGB
1576469	2CL	RC	RC	2CL	2CL	RC(S)
1717618	RGB	U	RGB	RGB	RGB	RGB(S)
1719297	RGB	RGB	RGB	RGB	RGB	UpperRGB
1719422	RGB	RGB	RGB	RGB	RGB	RGB(S)
1720241	RGB	RGB	RGB	RGB	U	RGB(S)
1720425	RC	RC	RC	RC	RC	RC(S)
1723047	RGB	RGB	RGB	RGB	RGB	RC(S)
1723752	RGB	RGB	RGB	RGB	RGB	RGB(S)
1723843	RGB	RGB	RGB	RGB	RGB	RGB(S)
1725190	2CL	RC	RC	2CL	2CL	RC(S)
1725552	RGB	RGB	RGB	RGB	RGB	UpperRGB
1725732	RGB	RGB	RGB	RGB	RGB	UpperRGB
1726211	RC	RC	RGB	RC	RC	RGB(S)
1726245	RC	RC	RC	RC	RC	RC(S)
1726291	RGB	RGB	RGB	RGB	RGB	RGB(S)
1864183	RGB	RGB	RGB	RGB	RGB	RGB(S)
1864855	RGB	RGB	RGB	RGB	RGB	RGB(S)
1865262	RGB	RGB	RGB	RGB	RGB	RGB(S)
1865595	RGB	RGB	RGB	RGB	RGB	UpperRGB
1865747	RGB	RGB	RC	RGB	RGB	RGB(S)
1867706	RGB	RGB	RC	RGB	RGB	RGB(S)
1868101	RC	RC	RC	RC	RC	RC(S)
1870196	RGB	RGB	RGB	RGB	RGB	RGB(S)
1870433	RGB	RGB	RGB	RGB	U	RGB(S)
1871314	RGB	RGB	RGB	RGB	RGB	RGB(S)
1871927	RGB	RGB	RC	RGB	RGB	RGB(S)
1872166	2CL	RC	RC	2CL	2CL	RC(S)
1872469	RGB	RGB	RGB	RGB	RGB	RGB(S)
1872517	RGB	RGB	RGB	RGB	U	RGB(S)
1873510	RC	RC	RC	RC	RC	RGB(S)
1995358	RC	RC	RC	RC	U	RC(S)
1995859	RC	RC	RC	RC	RC	RC(S)
1996078	RGB	RGB	RGB	RGB	RGB	RGB(S)
1996415	RGB	RGB	RGB	RGB	RGB	RGB(S)
2010137	RGB	RGB	RGB	RGB	RGB	UpperRGB
2011145	RGB	RGB	RGB	U	RGB	UpperRGB
2011582	RC/2CL	RC	RC	RC	2CL	RC(S)
2011870	RGB/AGB	RGB	RGB	AGB	RGB	UpperRGB
2011891	RGB	RGB	RC	RGB	RGB	RGB(S)
2013502	RC/2CL	RC	RC	2CL	RGB	RC(S)
2014684	RGB/AGB	RGB	RGB	AGB	RGB	UpperRGB
2015820	RC	RC	RC	RC	RC	RC(S)
2016676	2CL	RC	RC	2CL	2CL	RGB(S)
2016706	RC	RC	RC	RC	RC	RC(S)
2016978	RGB	RGB	RGB	RGB	RGB	RGB(S)
2017541	RGB	RGB	RGB	RGB	RGB	UpperRGB
2018283	RGB	RGB	RGB	RGB	RGB	RGB(S)
2018392	RGB	RGB	RGB	RGB	U	RGB(S)
2018537	RGB	RGB	RGB	RGB	RGB	RGB(S)
2140446	RGB	RGB	RGB	RGB	RGB	RGB(S)
2141255	RGB	RGB	RGB	RGB	RGB	RGB(S)
2141652	U	RGB	RC	RGB	U	RGB(S)
2141928	RC	RC	RC	RC	RC	RC(S)
2141932	RGB	RC	RGB	RGB	RGB	RGB(S)
2142095	RC/U	U	RC	RC	U	RC(S)
2155869	RGB	RGB	RC	RGB	RGB	RGB(S)
2156178	RC	RC	RGB	RC	RC	RGB(S)
2157059	RGB	RGB	RGB	RGB	RGB	RGB(S)
2157650	RGB	RGB	RGB	RGB	RGB	RGB(S)
2157901	RC	RC	RC	RC	RC	RC(S)
2158410	RC/U	U	RC	RC	U	RC(S)
2159864	RGB	RGB	RC	RGB	RGB	RC(S)
2160901	RGB	RGB	RC	RGB	RGB	RGB(S)
2161409	RGB	RGB	RC	U	RGB	RGB(S)
2161831	RGB	RGB	RGB	RGB	RGB	RGB(S)
2163856	2CL/U	U	RC	2CL	U	RC(S)
2164262	RGB	RGB	RC	RGB	RGB	RGB(S)
2164327	RC	RC	RC	RC	RC	RC(S)
2164379	RGB	RGB	RGB	RGB	RGB	RGB(S)
2164874	RGB/AGB	RGB	RC	AGB	RGB	UpperRGB
2165198	RGB	U	RC	RGB	RGB	RGB(S)
2165450	RC/2CL	RC	RC	2CL	RGB	RC(S)
2165615	RC	RC	RGB	RC	U	RGB(S)
2166223	RGB	U	RC	RGB	RGB	RGB(S)
2167183	RGB	RGB	RGB	RGB	RGB	UpperRGB
2167774	RGB	RGB	RGB	RGB	U	RGB(S)
2282855	U	U	RGB	U	U	RGB(S)
2283075	RGB	RGB	RC	RGB	RGB	notDone
2283093	RGB/AGB	RGB	RC	AGB	RGB	notDone
2283721	RGB	RGB	RGB	RGB	RGB	notDone
2284330	RC	RC	RC	RC	RC	notDone
2284679	RGB	RGB	RGB	RGB	RGB	notDone
2285827	RGB	RGB	RGB	RGB	RGB	notDone
2285898	RC	RC	RGB	RC	RC	notDone
