KIC Label
1026309 0
1027110 0
1027337 0
1160789 1
1161447 1
1161618 1
1162220 0
1162746 1
1163114 0
1163359 0
1163621 1
1294122 0
1294385 0
1296068 0
1296507 0
1429505 0
1431059 0
1432587 0
1433593 0
1433730 0
1433803 0
1435573 1
1569842 0
1571780 1
1572175 0
1572780 0
1575886 1
1576043 0
1576469 1
1717618 0
1719297 0
1719422 0
1720241 0
1720425 1
1723047 0
1723752 0
1723843 0
1725190 1
1725552 0
1726211 1
1726245 1
1726291 0
1864183 0
1864855 0
1865262 0
1865595 0
1865747 0
1867706 0
1868101 1
1870196 0
1870433 0
1871314 0
1871927 0
1872166 1
1872469 0
1872517 0
1873510 1
1995358 1
1995859 1
1996078 0
1996415 0
2010137 0
2011582 1
2011891 0
2013502 1
2014684 0
2015820 1
2016676 1
2016706 1
2016978 0
2017541 0
2018283 0
2018392 0
2018537 0
2140446 0
2141255 0
2141928 1
2141932 0
2142095 1
2155869 0
2156178 1
2157059 0
2157650 0
2158410 1
2159864 0
2160901 0
2161409 0
2161831 0
2163856 1
2164262 0
2164327 1
2164379 0
2164874 0
2165198 0
2165450 1
2165615 1
2166223 0
2167774 0
2283075 0
2283093 0
2283721 0
2284330 1
2284679 0
2285827 0
2285898 1
2297785 1
2297825 1
2300329 0
2300503 0
2301349 0
2303101 0
2303200 0
2303367 1
2303414 0
2304104 1
2304765 0
2305145 1
2305407 0
2305479 0
2305590 0
2305930 1
2305987 0
2305992 0
2306481 1
2307683 0
2309469 1
2309550 1
2422073 0
2422558 0
2422635 0
2423824 0
2423932 0
2424822 0
2424934 1
2424955 0
2425631 0
2435987 0
2436209 0
2436417 1
2436688 0
2436900 0
2437040 0
2437191 0
2437340 0
2437353 1
2437507 0
2437564 1
2437692 1
2437804 1
2437816 0
2437965 0
2438051 1
2438333 0
2438368 1
2441995 1
2442483 0
2442559 1
2443573 0
2443903 0
2444062 1
2444348 0
2444790 0
2445426 0
2446327 0
2447046 0
2447476 0
2447529 1
2447604 1
2448225 1
2448679 1
2449020 1
2449327 1
2449518 1
2449558 0
2449703 1
2451509 0
2554924 1
2556252 0
2556640 1
2557942 1
2558794 1
2568563 1
2568912 0
2569055 1
2569360 0
2569618 0
2569945 1
2570172 0
2570214 1
2570715 1
2572089 1
2573092 1
2575024 1
2576417 0
2578198 0
2578581 0
2579142 0
2579661 0
2580691 0
2581533 0
2583386 0
2583884 1
2584477 0
2584478 0
2693261 1
2693967 1
2695267 1
2695975 0
2696115 0
2696628 0
2696732 0
2696739 0
2697082 1
2697501 1
2709877 0
2710002 0
2710194 0
2710472 0
2711432 0
2711477 0
2712761 0
2713305 0
2714090 1
2714397 1
2714785 0
2716608 1
